"Freq [GHz]","re(St(FloquetPort1:1,FloquetPort1:1)) []","im(St(FloquetPort1:1,FloquetPort1:1)) []","re(St(FloquetPort2:1,FloquetPort1:1)) []","im(St(FloquetPort2:1,FloquetPort1:1)) []"
3.7575,-0.181056552895085,-0.0618124216587701,-0.959408026763255,-0.0822577451719551
3.765,-0.181575352316093,-0.0576175176634774,-0.960232608024076,-0.0737347105260007
3.7725,-0.18203197928602,-0.0534259442051119,-0.960974373884195,-0.0652090061442797
3.78,-0.182426664530318,-0.0492385139590073,-0.961633439707963,-0.0566815020704955
3.7875,-0.182759648583224,-0.0450560333567579,-0.962209930372568,-0.0481530642434417
3.795,-0.183031181649743,-0.0408793024835276,-0.962703980168684,-0.0396245543977197
3.8025,-0.183241523467029,-0.036709114978142,-0.963115732700373,-0.0310968299665607
3.81,-0.18339094316523,-0.0325462579359603,-0.963445340784292,-0.0225707439867578
3.8175,-0.183479719127827,-0.0283915118145095,-0.963692966348251,-0.0140471450057086
3.825,-0.183508138851534,-0.024245650341862,-0.963858780329147,-0.00552687699054005
3.8325,-0.18347649880581,-0.0201094404277416,-0.963942962570328,0.00298922076067714
3.84,-0.183385104292014,-0.0159836420773472,-0.963945701718421,0.0115003137056305
3.8475,-0.183234269302276,-0.0118690083078653,-0.963867195119662,0.0200055721424098
3.855,-0.183024316378109,-0.00776628506765948,-0.963707648715767,0.0285041712920928
3.8625,-0.182755576468824,-0.00367621115812083,-0.963467276939381,0.0369952913792746
3.87,-0.182428388789792,0.000400481841851866,-0.963146302609144,0.0454781177105777
3.8775,-0.182043100680581,0.00446306964875083,-0.96274495682441,0.0539518407511261
3.885,-0.181600067463042,0.00851083534476465,-0.96226347885965,0.0624156561990136
3.8925,-0.181099652299358,0.0125430694455136,-0.961702116058578,0.0708687650577794
3.9,-0.180542226050118,0.0165590699652291,-0.961061123728043,0.0793103737068898
3.9075,-0.179928167132446,0.0205581424794108,-0.960340765031697,0.0877396939702586
3.915,-0.179257861378235,0.0245396001849783,-0.959541310883501,0.09615594318281
3.9225,-0.178531701892514,0.02850276395794,-0.958663039841085,0.104558344255097
3.93,-0.177750088911998,0.0324469624086111,-0.957706237998989,0.112946125736
3.9375,-0.176913429663858,0.0363715319343981,-0.95667119888184,0.121318521873515
3.945,-0.176022138224735,0.0402758167701786,-0.955558223337466,0.129674772673648
3.9525,-0.175076635380052,0.0441591690363019,-0.954367619430001,0.138014123957431
3.96,-0.174077348483653,0.0480209487842367,-0.953099702332997,0.146335827416084
3.9675,-0.173024711317793,0.0518605240398911,-0.951754794222579,0.154639140664331
3.975,-0.171919163953528,0.0556772708446331,-0.950333224170666,0.162923327291892
3.9825,-0.170761152611537,0.0594705732940388,-0.948835328038291,0.171187656913173
3.99,-0.169551129523387,0.0632398235743933,-0.947261448369043,0.179431405215158
3.9975,-0.168289552793308,0.0669844219969764,-0.945611934282657,0.187653854003542
4.005,-0.166976886260469,0.0707037770301576,-0.943887141368786,0.195854291247113
4.0125,-0.165613599361819,0.0743973053293276,-0.942087431580962,0.204032011120388
4.02,-0.1642001669955,0.0780644317647009,-0.940213173130801,0.21218631404456
4.0275,-0.162737069384861,0.08170458944701,-0.938264740382434,0.220316506726731
4.035,-0.16122479194312,0.0853172197511261,-0.936242513747234,0.228421902197481
4.0425,-0.15966382513867,0.0889017723376326,-0.934146879578821,0.236501819846792
4.05,-0.158054664361082,0.0924577051723801,-0.931978230068396,0.24455558545832
4.0575,-0.156397809787813,0.0959844845440547,-0.929736963140405,0.252582531242069
4.065,-0.154693766251645,0.0994815850797856,-0.927423482348575,0.260581995865475
4.0725,-0.152943043108888,0.102948489758824,-0.925038196772319,0.268553324482902
4.08,-0.151146154108358,0.106384689924322,-0.922581520913549,0.276495868763603
4.0875,-0.149303617261156,0.109789685293239,-0.920053874593904,0.284408986918146
4.095,-0.147415954711269,0.11316298396441,-0.917455682852422,0.292292043723323
4.1025,-0.145483692607016,0.116504102424797,-0.914787375843664,0.300144410545585
4.11,-0.14350736097335,0.119812565553968,-0.912049388736313,0.307965465362997
4.1175,-0.141487493585045,0.123087906626815,-0.909242161612265,0.315754592785752
4.125,-0.139424627840778,0.12632966731455,-0.906366139366224,0.32351118407526
4.1325,-0.137319304638125,0.129537397684015,-0.903421771605828,0.331234637161836
4.14,-0.135172068249496,0.13271065619532,-0.900409512552306,0.338924356660995
4.1475,-0.132983466199007,0.135849009697853,-0.89732982094169,0.346579753888397
4.155,-0.130754049140323,0.138952033424681,-0.894183159926598,0.354200246873446
4.1625,-0.128484370735474,0.142019310985377,-0.890969996978596,0.361785260371572
4.17,-0.126174987534667,0.145050434357306,-0.887690803791155,0.369334225875213
4.1775,-0.123826458857096,0.148045003875383,-0.884346056183213,0.376846581623521
4.185,-0.12143934667277,0.151002628220353,-0.880936234003363,0.384321772610817
4.1925,-0.119014215485381,0.153922924405607,-0.877461821034669,0.391759250593802
4.2,-0.116551632216195,0.156805517762571,-0.873923304900119,0.399158474097568
4.2075,-0.114052166089006,0.159650041924686,-0.870321176968744,0.406518908420401
4.215,-0.11151638851615,0.162456138810023,-0.866655932262389,0.413840025637427
4.2225,-0.108944872985586,0.165223458602551,-0.862928069363166,0.421121304603102
4.23,-0.106338194949061,0.167951659732085,-0.859138090321583,0.428362230952564
4.2375,-0.103696931711357,0.170640408852943,-0.855286500565374,0.435562297101896
4.245,-0.101021662320648,0.173289380821352,-0.851373808809019,0.442721002247275
4.2525,-0.0983129674599421,0.175898258671611,-0.847400526963983,0.449837852363078
4.26,-0.0955714293396497,0.178466733591049,-0.843367170049665,0.456912360198921
4.2675,-0.092797631591261,0.180994504893809,-0.839274256105069,0.463944045275684
4.275,-0.0899921591621484,0.183481279993472,-0.835122306101216,0.470932433880517
4.2825,-0.0871555982114965,0.185926774374564,-0.830911843854279,0.477877059060873
4.29,-0.0842885360073658,0.188330711562959,-0.826643395939473,0.484777460617561
4.2975,-0.0813915608248923,0.190692823095207,-0.822317491605684,0.491633185096857
4.305,-0.0784652618456306,0.193012848486825,-0.817934662690861,0.498443785781687
4.3125,-0.0755102290580389,0.195290535199553,-0.813495443538156,0.505208822681903
4.32,-0.0725270531591162,0.197525638607629,-0.809000370912843,0.511927862523665
4.3275,-0.0695163254571833,0.199717921963084,-0.804449983919986,0.518600478737956
4.335,-0.0664786377758237,0.201867156360097,-0.799844823922892,0.525226251448248
4.3425,-0.0634145823589728,0.203973120698428,-0.795185434462336,0.531804767457331
4.35,-0.0603247517771665,0.206035601645953,-0.790472361176561,0.538335620233334
4.3575,-0.057209738834945,0.208054393600335,-0.785706151722063,0.544818409894941
4.365,-0.0540701364794142,0.210029298649835,-0.780887355695153,0.551252743195845
4.3725,-0.0509065377099637,0.211960126533316,-0.776016524554314,0.557638233508428
4.38,-0.0477195354891439,0.21384669459943,-0.771094211543339,0.56397450080671
4.3875,-0.0445097226546986,0.215688827765037,-0.766120971615262,0.570261171648571
4.395,-0.0412776918327527,0.217486358472871,-0.761097361357073,0.576497879157269
4.4025,-0.038024035352158,0.219239126648466,-0.756023938915237,0.582684263002267
4.41,-0.0347493451599894,0.220946979656379,-0.750901263921993,0.588819969379391
4.4175,-0.0314542127381923,0.222609772255728,-0.74572989742245,0.594904650990336
4.425,-0.0281392290213826,0.224227366555053,-0.740510401802483,0.600937967021527
4.4325,-0.0248049843157907,0.225799631966548,-0.735243340717413,0.606919583122371
4.44,-0.0214520682193508,0.227326445159655,-0.729929279021482,0.612849171382892
4.4475,-0.018081069542933,0.228807690014066,-0.724568782698129,0.618726410310784
4.455,-0.0146925762327098,0.23024325757214,-0.719162418791041,0.624550984807897
4.4625,-0.0112871752936616,0.231633045990759,-0.713710755336014,0.630322586146152
4.47,-0.0078654527142114,0.232976960492638,-0.708214361293592,0.636040911942931
4.4775,-0.00442799339198314,0.234274913317125,-0.702673806482494,0.641705666135929
4.485,-0.000975381060689584,0.235526823670481,-0.697089661513833,0.647316558957502
4.4925,0.00249180178186879,0.236732617675698,-0.691462497726119,0.652873306908518
4.5,0.00597297394468721,0.237892228321831,-0.685792887121041,0.658375632731726
4.5075,0.00946755561333146,0.239005595412904,-0.680081402300036,0.66382326538466
4.515,0.0129749684186116,0.240072665516373,-0.674328616401629,0.669215940012088
4.5225,0.0164946355041548,0.241093391911186,-0.668535103039558,0.674553397918029
4.53,0.0200259815928897,0.242067734535457,-0.66270143624166,0.679835386537339
4.5375,0.0235684330524361,0.242995659933748,-0.656828190389543,0.685061659406889
4.545,0.0271214179594218,0.243877141204017,-0.650915940159011,0.690231976136351
4.5525,0.0306843661627193,0.244712157944204,-0.644965260461264,0.695346102378591
4.56,0.0342567093456147,0.245500696198505,-0.638976726384849,0.700403809799696
4.5675,0.0378378810869134,0.246242748403336,-0.63295091313838,0.705404876048648
4.575,0.0414273169209926,0.246938313333004,-0.626888395993997,0.710349084726646
4.5825,0.0450244543967982,0.247587396045101,-0.620789750231595,0.715236225356093
4.59,0.0486287331358045,0.24819000782564,-0.614655551083777,0.720066093349273
4.5975,0.0522395948889359,0.248746166133941,-0.608486373681566,0.724838489976708
4.605,0.0558564835924586,0.249255894547294,-0.602282793000852,0.729553222335229
4.6125,0.0594788454228516,0.249719222705395,-0.596045383809565,0.734210103315748
4.62,0.0631061288506643,0.25013618625459,-0.589774720615583,0.738808951570773
4.6275,0.066737784693364,0.250506826791925,-0.58347137761537,0.743349591481648
4.635,0.0703732661671855,0.250831191809029,-0.577135928643329,0.747831853125544
4.6425,0.0740120289379881,0.251109334635825,-0.570768947121871,0.752255572242215
4.65,0.0776535311711279,0.251341314384105,-0.564371006012197,0.756620590200513
4.6575,0.0812972335803527,0.251527195890968,-0.557942677765787,0.760926753964699
4.665,0.0849425994757298,0.251667049662132,-0.551484534276591,0.765173916060527
4.6725,0.0885890948106093,0.25176095181514,-0.544997146833917,0.769361934541143
4.68,0.0922361882276352,0.251808984022475,-0.538481086076009,0.773490672952785
4.6875,0.0958833511038137,0.25181123345458,-0.531936921944313,0.777560000300307
4.695,0.0995300575946402,0.251767792722811,-0.525365223638428,0.781569791012536
4.7025,0.103175784677301,0.251678759822332,-0.518766559571726,0.785519924907459
4.71,0.106820012192951,0.251544238074951,-0.512141497327651,0.789410287157264
4.7175,0.110462222888078,0.251364336071925,-0.50549060361668,0.793240768253238
4.725,0.114101902454969,0.251139167616732,-0.498814444233945,0.79701126397053
4.7325,0.117738539571269,0.25086885166783,-0.492113584017511,0.800721675332783
4.74,0.121371625938665,0.250553512281403,-0.485388586807305,0.804371908576658
4.7475,0.125000656320678,0.250193278554114,-0.47864001540468,0.80796187511624
4.755,0.128625128579595,0.249788284565869,-0.47186843153264,0.811491491507348
4.7625,0.132244543712529,0.249338669322603,-0.465074395796668,0.814960679411746
4.77,0.13585840588663,0.248844576699102,-0.458258467646209,0.818369365561277
4.7775,0.13946622247345,0.248306155381857,-0.451421205336758,0.821717481721911
4.785,0.143067504082468,0.247723558811982,-0.444563165892569,0.82500496465772
4.7925,0.146661764593788,0.247096945128174,-0.437684905069981,0.828231756094806
4.8,0.150248521190019,0.246426477109755,-0.430786977321337,0.831397802685149
4.8075,0.153827294387336,0.245712322119782,-0.423869935759515,0.834503055970417
4.815,0.157397608065745,0.244954652048245,-0.416934332123044,0.83754747234574
4.8225,0.16095898949855,0.244153643255353,-0.40998071674181,0.840531013023433
4.83,0.164510969381033,0.243309476514925,-0.403009638503352,0.843453643996697
4.8375,0.168053081858358,0.242422336957884,-0.396021644819714,0.846315336003297
4.845,0.171584864552704,0.241492414015869,-0.389017281594895,0.849116064489215
4.8525,0.175105858589635,0.240519901364968,-0.381997093192849,0.8518558095723
4.86,0.178615608623726,0.239504996869579,-0.374961622406036,0.854534556005905
4.8675,0.182113662863435,0.238447902526412,-0.367911410424549,0.857152293142528
4.875,0.185599573095241,0.237348824408626,-0.360846996805769,0.859709014897457
4.8825,0.189072894707066,0.236207972610121,-0.353768919444572,0.862204719712424
4.89,0.192533186710959,0.235025561189988,-0.346677714544073,0.864639410519271
4.8975,0.195980011765086,0.233801808117109,-0.339573916586893,0.867013094703653
4.905,0.199412936195012,0.232536935214944,-0.332458058306963,0.869325784068743
4.9125,0.202831530014287,0.231231168106468,-0.325330670661835,0.871577494798987
4.92,0.206235366944349,0.229884736159311,-0.318192282805512,0.873768247423886
4.9275,0.20962402443375,0.228497872431064,-0.311043422061794,0.875898066781821
4.935,0.212997083676709,0.227070813614788,-0.303884613898112,0.877966981983917
4.9425,0.216354129631013,0.22560379998471,-0.296716381899869,0.879975026377961
4.95,0.219694751035255,0.224097075342125,-0.289539247745272,0.881922237512376
4.9575,0.223018540425433,0.222550886961498,-0.28235373118064,0.883808657100243
4.965,0.226325094150911,0.220965485536784,-0.275160349996207,0.885634330983391
