"Freq [GHz]","dB(St(FloquetPort1:1,FloquetPort1:1)) []","ang_deg(St(FloquetPort1:1,FloquetPort1:1)) [deg]","dB(St(FloquetPort2:1,FloquetPort1:1)) []","ang_deg(St(FloquetPort2:1,FloquetPort1:1)) [deg]"
5.145,-9.23527649438474,29.8454832385596,-0.752178012276272,96.3526887666048
5.1525,-9.2057384979122,29.2636783012552,-0.756347268231122,95.9013484454017
5.16,-9.17637138845486,28.6833763530613,-0.76052389684264,95.4502498604094
5.1675,-9.14717419053802,28.1045589262977,-0.764707760787017,94.9993921421899
5.175,-9.11814592566106,27.5272078485408,-0.768898723880504,94.5487744222412
5.1825,-9.08928561275328,26.9513052370782,-0.773096651071641,94.0983958330208
5.19,-9.06059226860959,26.3768334934682,-0.777301408433465,93.6482555079702
5.1975,-9.03206490830688,25.8037752982,-0.781512863155807,93.1983525815374
5.205,-9.00370254560185,25.2321136054553,-0.78573088353758,92.7486861891994
5.2125,-8.97550419331097,24.6618316379692,-0.789955338979156,92.2992554674842
5.22,-8.94746886367328,24.092912881989,-0.794186099974733,91.8500595539924
5.2275,-8.9195955686968,23.5253410823293,-0.798423038104785,91.4010975874183
5.235,-8.891883320489,22.9591002375221,-0.802666026028533,90.9523687075697
5.2425,-8.86433113157226,22.3941745950608,-0.806914937476454,90.5038720553891
5.25,-8.83693801518454,21.8305486467358,-0.811169647242857,90.055606772972
5.2575,-8.80970298556617,21.2682071240604,-0.815430031178456,89.6075720035867
5.265,-8.78262505823316,20.7071349937864,-0.81969596618305,89.1597668916923
5.2725,-8.75570325023754,20.1473174535075,-0.823967330198169,88.7121905829575
5.28,-8.72893658041538,19.5887399273471,-0.828244002199845,88.2648422242775
5.2875,-8.70232406962276,19.0313880617333,-0.832525862191352,87.8177209637919
5.295,-8.67586474096048,18.4752477212545,-0.836812791196047,87.3708259509007
5.3025,-8.64955761998762,17.9203049845981,-0.841104671250218,86.9241563362813
5.31,-8.62340173492467,17.3665461405693,-0.845401385396008,86.4777112719039
5.3175,-8.59739611684651,16.8139576841885,-0.849702817674343,86.031489911047
5.325,-8.57153979986564,16.2625263128656,-0.854008853117962,85.5854914083129
5.3325,-8.54583182130618,15.7122389226507,-0.858319377744433,85.1397149196414
5.34,-8.52027122186882,15.1630826045593,-0.862634278549244,84.6941596023251
5.3475,-8.49485704578729,14.6150446409707,-0.866953443498966,84.2488246150223
5.355,-8.46958834097648,14.068112502097,-0.871276761524399,83.8037091177707
5.3625,-8.44446415917277,13.5222738425244,-0.875604122513823,83.3588122720005
5.37,-8.41948355606672,12.9775164978215,-0.879935417306258,82.914133240547
5.3775,-8.39464559142852,12.4338284812169,-0.884270537684799,82.4696711876628
5.385,-8.36994932922641,11.8911979803423,-0.888609376369977,82.0254252790295
5.3925,-8.34539383773849,11.3496133540407,-0.892951827013172,81.5813946817697
5.4,-8.32097818965804,10.8090631292383,-0.897297784190079,81.1375785644574
5.4075,-8.29670146219278,10.2695359978799,-0.901647143394225,80.6939760971294
5.415,-8.27256273715813,9.73102081392428,-0.905999801030524,80.2505864512954
5.4225,-8.24856110106489,9.19350659040064,-0.910355654408863,79.8074087999481
5.43,-8.22469564520151,8.65698249652324,-0.914714601737797,79.3644423175734
5.4375,-8.2009654657111,8.12143785486433,-0.91907654211822,78.921686180159
5.445,-8.17736966366352,7.58686213858303,-0.923441375537119,78.4791395652039
5.4525,-8.15390734512269,7.05324496871036,-0.927809002861383,78.0368016517273
5.46,-8.13057762120936,6.52057611148781,-0.932179325831648,77.5946716202769
5.4675,-8.10737960815942,5.98884547575953,-0.936552247056195,77.152748652937
5.475,-8.08431242737813,5.45804311041654,-0.940927670004873,76.711031933336
5.4825,-8.06137520549026,4.92815920189175,-0.945305499003136,76.2695206466545
5.49,-8.03856707438641,4.39918407170535,-0.949685639226035,75.828213979632
5.4975,-8.01588717126572,3.871108174059,-0.954067996692355,75.3871111205742
5.505,-7.9933346386749,3.34392209347776,-0.958452478258714,74.9462112593593
5.5125,-7.97090862454409,2.81761654249942,-0.96283899161379,74.5055135874445
5.52,-7.94860828221937,2.29218235940954,-0.967227445272526,74.0650172978721
5.5275,-7.92643277049219,1.76761050602134,-0.971617748570445,73.6247215852751
