"Freq [GHz]","mag(St(FloquetPort1:1,FloquetPort1:1)) []","mag(St(FloquetPort2:1,FloquetPort1:1)) []"
4.35,0.214685222646056,0.9563742958675
4.3575,0.215776701508679,0.956117804778441
4.365,0.216877582867027,0.955858069571792
4.3725,0.217987547400385,0.955595126532024
4.38,0.219106282106199,0.955329011720999
4.3875,0.220233480273673,0.955059760977664
4.395,0.221368841449807,0.954787409917793
4.4025,0.222512071398484,0.954511993933762
4.41,0.223662882053157,0.954233548194357
4.4175,0.224820991463712,0.953952107644629
4.425,0.225986123738012,0.953667707005769
4.4325,0.22715800897863,0.953380380775026
4.44,0.228336383215232,0.953090163225661
4.4475,0.22952098833307,0.952797088406927
4.455,0.230711571997992,0.952501190144083
4.4625,0.231907887578381,0.952202502038446
4.47,0.233109694064378,0.951901057467469
4.4775,0.234316755984769,0.951596889584846
4.485,0.235528843321831,0.951290031320654
4.4925,0.236745731424472,0.950980515381523
4.5,0.237967200919938,0.950668374250829
4.5075,0.23919303762436,0.950353640188922
4.515,0.240423032452384,0.95003634523338
4.5225,0.241656981326126,0.949716521199284
4.53,0.242894685083653,0.949394199679528
4.5375,0.244135949387191,0.949069412045148
4.545,0.24538058463125,0.94874218944568
4.5525,0.24662840585082,0.948412562809542
4.56,0.247879232629804,0.948080562844439
4.5675,0.249132889009813,0.94774622003779
4.575,0.25038920339947,0.947409564657182
4.5825,0.251648008484317,0.947070626750845
4.59,0.252909141137454,0.946729436148145
4.5975,0.254172442330978,0.946386022460105
4.605,0.255437757048339,0.946040415079939
4.6125,0.256704934197654,0.945692643183615
4.62,0.257973826526079,0.94534273573043
4.6275,0.259244290535274,0.944990721463608
4.635,0.260516186398035,0.944636628910918
4.6425,0.261789377876117,0.944280486385307
4.65,0.263063732239309,0.94392232198555
4.6575,0.26433912018578,0.943562163596925
4.665,0.265615415763724,0.943200038891894
4.6725,0.266892496294348,0.94283597533081
4.68,0.268170242296186,0.942470000162631
4.6875,0.26944853741079,0.942102140425657
4.695,0.270727268329788,0.941732422948278
4.7025,0.272006324723312,0.941360874349739
4.71,0.273285599169824,0.940987521040912
4.7175,0.27456498708731,0.940612389225095
4.725,0.275844386665867,0.94023550489881
4.7325,0.277123698801656,0.939856893852622
4.74,0.278402827032239,0.939476581671969
4.7475,0.279681677473261,0.939094593738003
4.755,0.280960158756499,0.938710955228442
4.7625,0.282238181969239,0.938325691118436
4.77,0.283515660594986,0.937938826181441
4.7775,0.284792510455477,0.937550384990103
4.785,0.286068649653996,0.937160391917153
4.7925,0.287343998519962,0.936768871136315
4.8,0.288618479554779,0.936375846623217
4.8075,0.289892017378927,0.935981342156317
4.815,0.291164538680271,0.935585381317828
4.8225,0.292435972163578,0.935187987494668
4.83,0.293706248501209,0.934789183879397
4.8375,0.29497530028498,0.93438899347118
4.845,0.296243061979148,0.933987439076744
4.8525,0.297509469874535,0.933584543311351
4.86,0.298774462043732,0.933180328599771
4.8675,0.300037978297385,0.932774817177263
4.875,0.301299960141538,0.932368031090566
4.8825,0.302560350736003,0.931959992198892
4.89,0.303819094853739,0.93155072217492
4.8975,0.305076138841229,0.931140242505804
4.905,0.306331430579813,0.930728574494181
4.9125,0.307584919447977,0.930315739259181
4.92,0.30883655628456,0.929901757737447
4.9275,0.310086293352873,0.929486650684152
4.935,0.311334084305693,0.929070438674028
4.9425,0.312579884151131,0.92865314210239
4.95,0.313823649219329,0.928234781186168
4.9575,0.315065337129999,0.927815375964941
4.965,0.316304906760749,0.927394946301969
4.9725,0.317542318216201,0.926973511885241
4.98,0.318777532797881,0.926551092228504
4.9875,0.320010512974842,0.926127706672314
4.995,0.321241222355027,0.925703374385076
5.0025,0.322469625657341,0.92527811436409
5.01,0.323695688684416,0.924851945436598
5.0175,0.324919378296046,0.924424886260832
5.025,0.326140662383294,0.923996955327061
5.0325,0.32735950984323,0.923568170958641
